epoch, i, loss
0, 0, 0.0971
0, 1, 0.0919
0, 2, 0.0899
0, 3, 0.0908
0, 4, 0.0822
1, 0, 0.0828
1, 1, 0.0829
1, 2, 0.0806
1, 3, 0.0779
1, 4, 0.0720
2, 0, 0.0706
2, 1, 0.0681
2, 2, 0.0639
2, 3, 0.0664
2, 4, 0.0566
3, 0, 0.0537
3, 1, 0.0549
3, 2, 0.0486
3, 3, 0.0441
3, 4, 0.0401
4, 0, 0.0349
4, 1, 0.0367
4, 2, 0.0317
4, 3, 0.0316
4, 4, 0.0240
5, 0, 0.0225
5, 1, 0.0238
5, 2, 0.0222
5, 0, 0.0250
5, 1, 0.0190
5, 2, 0.0207
5, 3, 0.0187
5, 4, 0.0252
6, 0, 0.0157
6, 1, 0.0136
6, 2, 0.0168
6, 3, 0.0112
6, 4, 0.0107
7, 0, 0.0113
7, 1, 0.0105
7, 2, 0.0076
7, 3, 0.0095
7, 4, 0.0102
8, 0, 0.0080
8, 1, 0.0072
8, 2, 0.0065
8, 3, 0.0054
8, 4, 0.0052
9, 0, 0.0071
9, 1, 0.0046
9, 2, 0.0041
9, 0, 0.0051
9, 1, 0.0046
9, 2, 0.0039
9, 3, 0.0038
9, 4, 0.0137
10, 0, 0.0027
10, 1, 0.0045
10, 2, 0.0053
10, 3, 0.0030
10, 4, 0.0021
11, 0, 0.0033
11, 1, 0.0038
11, 2, 0.0028
11, 3, 0.0029
11, 4, 0.0023
12, 0, 0.0020
12, 1, 0.0031
12, 2, 0.0032
12, 3, 0.0030
12, 4, 0.0022
13, 0, 0.0031
13, 1, 0.0023
13, 2, 0.0025
13, 3, 0.0023
13, 4, 0.0035
14, 0, 0.0017
14, 1, 0.0013
14, 2, 0.0022
14, 3, 0.0048
14, 4, 0.0012
15, 0, 0.0017
15, 1, 0.0014
15, 2, 0.0026
15, 3, 0.0027
15, 4, 0.0066
16, 0, 0.0023
16, 1, 0.0016
16, 2, 0.0012
16, 3, 0.0034
16, 4, 0.0048
17, 0, 0.0033
17, 1, 0.0020
17, 2, 0.0018
17, 3, 0.0021
17, 4, 0.0012
18, 0, 0.0027
18, 1, 0.0023
18, 2, 0.0019
18, 3, 0.0016
18, 4, 0.0027
19, 0, 0.0031
19, 1, 0.0022
19, 2, 0.0017
19, 3, 0.0020
19, 4, 0.0011
20, 0, 0.0024
20, 1, 0.0012
20, 2, 0.0024
20, 3, 0.0021
20, 4, 0.0045
21, 0, 0.0030
21, 1, 0.0016
21, 2, 0.0022
21, 3, 0.0012
21, 4, 0.0038
22, 0, 0.0043
22, 1, 0.0016
22, 2, 0.0013
22, 3, 0.0015
22, 4, 0.0016
23, 0, 0.0017
23, 1, 0.0029
23, 2, 0.0022
23, 3, 0.0021
23, 4, 0.0004
24, 0, 0.0030
24, 1, 0.0037
24, 2, 0.0007
24, 3, 0.0011
24, 4, 0.0014
25, 0, 0.0012
25, 1, 0.0022
25, 2, 0.0036
25, 3, 0.0017
25, 4, 0.0004
26, 0, 0.0027
26, 1, 0.0014
26, 2, 0.0012
26, 3, 0.0029
26, 4, 0.0023
