epoch, validation loss (L2), validation loss (L1), error_600(mm)
0, 0.2531, 0.2531, 151.9
1, 0.2314, 0.2314, 138.8
2, 0.2032, 0.2032, 121.9
3, 0.1685, 0.1685, 101.1
4, 0.1342, 0.1342, 80.5
5, 0.1082, 0.1082, 64.9
6, 0.0882, 0.0882, 52.9
7, 0.0743, 0.0743, 44.6
8, 0.0645, 0.0645, 38.7
9, 0.0589, 0.0589, 35.4
10, 0.0525, 0.0525, 31.5
11, 0.0497, 0.0497, 29.8
12, 0.0470, 0.0470, 28.2
13, 0.0438, 0.0438, 26.3
14, 0.0428, 0.0428, 25.7
15, 0.0426, 0.0426, 25.6
16, 0.0433, 0.0433, 26.0
17, 0.0423, 0.0423, 25.4
18, 0.0399, 0.0399, 23.9
19, 0.0400, 0.0400, 24.0
20, 0.0416, 0.0416, 24.9
21, 0.0393, 0.0393, 23.6
22, 0.0396, 0.0396, 23.8
23, 0.0391, 0.0391, 23.4
24, 0.0394, 0.0394, 23.6
25, 0.0391, 0.0391, 23.4
26, 0.0400, 0.0400, 24.0
27, 0.0418, 0.0418, 25.1
28, 0.0385, 0.0385, 23.1
29, 0.0393, 0.0393, 23.6
30, 0.0374, 0.0374, 22.4
31, 0.0373, 0.0373, 22.4
32, 0.0401, 0.0401, 24.0
33, 0.0407, 0.0407, 24.4
34, 0.0377, 0.0377, 22.6
35, 0.0382, 0.0382, 22.9
36, 0.0393, 0.0393, 23.6
37, 0.0378, 0.0378, 22.7
38, 0.0394, 0.0394, 23.7
39, 0.0373, 0.0373, 22.4
40, 0.0367, 0.0367, 22.0
41, 0.0371, 0.0371, 22.3
42, 0.0375, 0.0375, 22.5
43, 0.0385, 0.0385, 23.1
44, 0.0370, 0.0370, 22.2
45, 0.0378, 0.0378, 22.7
46, 0.0387, 0.0387, 23.2
47, 0.0405, 0.0405, 24.3
48, 0.0396, 0.0396, 23.8
49, 0.0384, 0.0384, 23.0
50, 0.0380, 0.0380, 22.8
51, 0.0385, 0.0385, 23.1
52, 0.0391, 0.0391, 23.4
53, 0.0392, 0.0392, 23.5
54, 0.0389, 0.0389, 23.3
55, 0.0378, 0.0378, 22.7
56, 0.0367, 0.0367, 22.0
57, 0.0371, 0.0371, 22.3
58, 0.0364, 0.0364, 21.9
59, 0.0376, 0.0376, 22.5
60, 0.0373, 0.0373, 22.4
61, 0.0377, 0.0377, 22.6
62, 0.0377, 0.0377, 22.6
63, 0.0392, 0.0392, 23.5
64, 0.0381, 0.0381, 22.9
65, 0.0377, 0.0377, 22.6
66, 0.0386, 0.0386, 23.2
67, 0.0390, 0.0390, 23.4
68, 0.0375, 0.0375, 22.5
69, 0.0370, 0.0370, 22.2
70, 0.0369, 0.0369, 22.2
71, 0.0369, 0.0369, 22.1
72, 0.0375, 0.0375, 22.5
73, 0.0367, 0.0367, 22.0
74, 0.0368, 0.0368, 22.1
75, 0.0385, 0.0385, 23.1
76, 0.0395, 0.0395, 23.7
77, 0.0391, 0.0391, 23.4
78, 0.0405, 0.0405, 24.3
79, 0.0375, 0.0375, 22.5
80, 0.0395, 0.0395, 23.7
81, 0.0392, 0.0392, 23.5
82, 0.0394, 0.0394, 23.6
83, 0.0397, 0.0397, 23.8
84, 0.0391, 0.0391, 23.4
85, 0.0376, 0.0376, 22.5
