epoch, i, loss
0, 0, 0.9904
0, 1, 0.9911
0, 2, 0.9902
0, 3, 0.9905
0, 4, 0.9906
0, 5, 0.9897
0, 6, 0.9893
0, 7, 0.9897
0, 8, 0.9899
0, 9, 0.9907
0, 10, 0.9902
0, 11, 0.9892
0, 12, 0.9889
0, 13, 0.9892
0, 14, 0.9887
0, 15, 0.9891
0, 16, 0.9895
0, 17, 0.9881
0, 18, 0.9871
0, 19, 0.9889
0, 20, 0.9889
0, 21, 0.9880
0, 22, 0.9875
0, 23, 0.9884
0, 24, 0.9868
0, 25, 0.9881
0, 26, 0.9884
0, 27, 0.9876
0, 28, 0.9900
0, 29, 0.9887
0, 30, 0.9890
0, 31, 0.9875
0, 32, 0.9884
0, 33, 0.9870
0, 34, 0.9885
0, 35, 0.9876
0, 36, 0.9871
0, 37, 0.9876
0, 38, 0.9874
0, 39, 0.9863
0, 40, 0.9874
0, 41, 0.9873
0, 42, 0.9874
1, 0, 0.9871
1, 1, 0.9865
1, 2, 0.9876
1, 3, 0.9876
1, 4, 0.9876
1, 5, 0.9884
1, 6, 0.9865
1, 7, 0.9877
1, 8, 0.9871
1, 9, 0.9878
1, 10, 0.9871
1, 11, 0.9873
1, 12, 0.9876
1, 13, 0.9869
1, 14, 0.9872
1, 15, 0.9874
1, 16, 0.9871
1, 17, 0.9872
1, 18, 0.9862
1, 19, 0.9864
1, 20, 0.9853
1, 21, 0.9858
1, 22, 0.9831
1, 23, 0.9877
1, 24, 0.9853
1, 25, 0.9863
1, 26, 0.9876
1, 27, 0.9847
1, 28, 0.9842
1, 29, 0.9866
1, 30, 0.9855
1, 31, 0.9851
1, 32, 0.9829
1, 33, 0.9853
1, 34, 0.9861
1, 35, 0.9863
1, 36, 0.9860
1, 37, 0.9857
1, 38, 0.9842
1, 39, 0.9867
1, 40, 0.9848
1, 41, 0.9852
1, 42, 0.9823
2, 0, 0.9857
2, 1, 0.9839
2, 2, 0.9849
2, 3, 0.9844
2, 4, 0.9851
2, 5, 0.9868
2, 6, 0.9842
2, 7, 0.9853
2, 8, 0.9852
2, 9, 0.9852
2, 10, 0.9855
2, 11, 0.9867
2, 12, 0.9863
2, 13, 0.9858
2, 14, 0.9856
2, 15, 0.9844
2, 16, 0.9865
2, 17, 0.9847
2, 18, 0.9857
2, 19, 0.9838
2, 20, 0.9858
2, 21, 0.9847
2, 22, 0.9847
2, 23, 0.9853
2, 24, 0.9840
2, 25, 0.9843
2, 26, 0.9844
2, 27, 0.9839
2, 28, 0.9840
2, 29, 0.9852
2, 30, 0.9843
2, 31, 0.9829
2, 32, 0.9860
2, 33, 0.9847
2, 34, 0.9849
2, 35, 0.9838
2, 36, 0.9835
2, 37, 0.9853
2, 38, 0.9843
2, 39, 0.9839
2, 40, 0.9858
2, 41, 0.9855
2, 42, 0.9847
3, 0, 0.9827
3, 1, 0.9834
3, 2, 0.9839
3, 3, 0.9849
3, 4, 0.9848
3, 5, 0.9842
3, 6, 0.9857
3, 7, 0.9844
3, 8, 0.9823
3, 9, 0.9821
3, 10, 0.9849
3, 11, 0.9830
3, 12, 0.9845
3, 13, 0.9839
3, 14, 0.9840
3, 15, 0.9847
3, 16, 0.9845
3, 17, 0.9846
3, 18, 0.9863
3, 19, 0.9835
3, 20, 0.9845
3, 21, 0.9832
3, 22, 0.9829
3, 23, 0.9850
3, 24, 0.9849
3, 25, 0.9843
3, 26, 0.9838
3, 27, 0.9840
3, 28, 0.9834
3, 29, 0.9843
3, 30, 0.9821
3, 31, 0.9831
3, 32, 0.9841
3, 33, 0.9837
3, 34, 0.9841
3, 35, 0.9846
3, 36, 0.9860
3, 37, 0.9851
3, 38, 0.9815
3, 39, 0.9830
3, 40, 0.9838
3, 41, 0.9830
3, 42, 0.9830
4, 0, 0.9846
4, 1, 0.9817
4, 2, 0.9839
4, 3, 0.9823
4, 4, 0.9823
4, 5, 0.9836
4, 6, 0.9830
4, 7, 0.9825
4, 8, 0.9849
4, 9, 0.9834
4, 10, 0.9834
4, 11, 0.9833
4, 12, 0.9847
4, 13, 0.9830
4, 14, 0.9824
4, 15, 0.9843
4, 16, 0.9831
4, 17, 0.9846
4, 18, 0.9833
4, 19, 0.9834
4, 20, 0.9816
4, 21, 0.9826
4, 22, 0.9822
4, 23, 0.9836
4, 24, 0.9820
4, 25, 0.9844
4, 26, 0.9838
4, 27, 0.9829
4, 28, 0.9844
4, 29, 0.9818
4, 30, 0.9822
4, 31, 0.9820
4, 32, 0.9839
4, 33, 0.9840
4, 34, 0.9849
4, 35, 0.9830
4, 36, 0.9830
4, 37, 0.9839
4, 38, 0.9826
4, 39, 0.9831
4, 40, 0.9830
4, 41, 0.9840
4, 42, 0.9838
5, 0, 0.9840
5, 1, 0.9826
5, 2, 0.9823
5, 3, 0.9833
5, 4, 0.9851
5, 5, 0.9821
5, 6, 0.9825
5, 7, 0.9817
5, 8, 0.9835
5, 9, 0.9832
5, 10, 0.9815
5, 11, 0.9808
5, 12, 0.9831
5, 13, 0.9832
5, 14, 0.9824
5, 15, 0.9807
5, 16, 0.9829
5, 17, 0.9833
5, 18, 0.9823
5, 19, 0.9836
5, 20, 0.9840
5, 21, 0.9839
5, 22, 0.9827
5, 23, 0.9823
5, 24, 0.9842
5, 25, 0.9825
5, 26, 0.9857
5, 27, 0.9815
5, 28, 0.9833
