epoch, validation loss
0, 0.9892
1, 0.9876
2, 0.9868
3, 0.9862
4, 0.9856
5, 0.9852
6, 0.9848
7, 0.9843
8, 0.9841
9, 0.9837
10, 0.9833
11, 0.9830
12, 0.9825
13, 0.9820
14, 0.9815
15, 0.9812
16, 0.9809
17, 0.9807
18, 0.9803
19, 0.9799
20, 0.9797
21, 0.9794
22, 0.9792
23, 0.9789
24, 0.9786
25, 0.9786
26, 0.9783
27, 0.9779
28, 0.9777
29, 0.9776
30, 0.9772
31, 0.9770
32, 0.9767
33, 0.9766
34, 0.9762
35, 0.9759
36, 0.9758
37, 0.9756
38, 0.9755
39, 0.9751
40, 0.9750
41, 0.9747
42, 0.9746
43, 0.9745
44, 0.9744
45, 0.9741
46, 0.9738
47, 0.9736
48, 0.9728
49, 0.9724
50, 0.9717
51, 0.9708
52, 0.9701
53, 0.9694
54, 0.9684
55, 0.9673
56, 0.9663
57, 0.9652
58, 0.9641
59, 0.9629
60, 0.9625
61, 0.9609
62, 0.9599
63, 0.9588
64, 0.9562
65, 0.9541
66, 0.9512
67, 0.9465
68, 0.9395
69, 0.9306
70, 0.9158
71, 0.8907
72, 0.8069
73, 0.5549
74, 0.3587
75, 0.2624
76, 0.2408
77, 0.2479
78, 0.2476
79, 0.2349
80, 0.2563
81, 0.2423
82, 0.2211
83, 0.2240
84, 0.2213
85, 0.2232
86, 0.2178
87, 0.2424
88, 0.2228
89, 0.2218
90, 0.2302
91, 0.2437
92, 0.2222
93, 0.2204
94, 0.2100
95, 0.2272
96, 0.2190
97, 0.2292
98, 0.2205
99, 0.2228
100, 0.2071
101, 0.2444
102, 0.2159
103, 0.2270
104, 0.2172
105, 0.2271
106, 0.2133
107, 0.2257
108, 0.2351
109, 0.2236
110, 0.2304
111, 0.2194
112, 0.2201
113, 0.2162
114, 0.2061
115, 0.2295
116, 0.2196
117, 0.2341
118, 0.2311
119, 0.2166
120, 0.2180
121, 0.2055
122, 0.2124
123, 0.2018
124, 0.2115
125, 0.2196
126, 0.2135
127, 0.2099
128, 0.2241
129, 0.2133
130, 0.2220
131, 0.2199
132, 0.2034
133, 0.2319
134, 0.2099
135, 0.2138
136, 0.2261
137, 0.2188
138, 0.2080
139, 0.2221
140, 0.2083
141, 0.2250
142, 0.2226
143, 0.2132
144, 0.2272
145, 0.2181
146, 0.2172
147, 0.2149
148, 0.2341
149, 0.2145
150, 0.2231
151, 0.2180
152, 0.2228
153, 0.2128
154, 0.2176
155, 0.2205
156, 0.2187
157, 0.2248
158, 0.2167
159, 0.2145
160, 0.2247
161, 0.2239
162, 0.2233
163, 0.2186
164, 0.2225
165, 0.2146
166, 0.2217
167, 0.2135
168, 0.2233
169, 0.2242
170, 0.2184
171, 0.2242
172, 0.2207
173, 0.2142
174, 0.2212
175, 0.2219
176, 0.2198
177, 0.2205
178, 0.2246
179, 0.2213
180, 0.2246
181, 0.2118
182, 0.2174
183, 0.2239
184, 0.2195
185, 0.2182
186, 0.2189
187, 0.2143
188, 0.2138
189, 0.2208
190, 0.2258
191, 0.2294
192, 0.2259
193, 0.2217
194, 0.2285
195, 0.2176
196, 0.2184
197, 0.2293
198, 0.2288
199, 0.2197
200, 0.2335
201, 0.2267
202, 0.2225
203, 0.2224
204, 0.2173
205, 0.2224
206, 0.2207
207, 0.2166
208, 0.2248
209, 0.2177
210, 0.2119
211, 0.2247
212, 0.2168
213, 0.2212
214, 0.2146
215, 0.2246
216, 0.2154
217, 0.2228
218, 0.2165
219, 0.2195
220, 0.2196
221, 0.2222
222, 0.2181
223, 0.2124
224, 0.2194
225, 0.2271
226, 0.2258
227, 0.2509
228, 0.2265
229, 0.2235
230, 0.2244
231, 0.2229
232, 0.2249
233, 0.2163
234, 0.2180
235, 0.2224
236, 0.2237
237, 0.2319
238, 0.2224
239, 0.2259
240, 0.2223
241, 0.2215
242, 0.2165
243, 0.2204
244, 0.2344
245, 0.2170
246, 0.2256
247, 0.2226
248, 0.2339
249, 0.2144
250, 0.2206
251, 0.2238
252, 0.2195
253, 0.2228
254, 0.2215
255, 0.2170
256, 0.2245
257, 0.2211
258, 0.2219
